Species,Species_with_underscore,Formatted_species,Suborder,Family,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Number of oviposition sites,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Strength of territoriality (strong vs weak),Male territorial polymorphism,Aggressiveness,Lek,Male site fidelity (length of time) ,Territory size,Sex polymorphisms,Sex dimorphisms,Geo polymorphism,Mass of male,Mass of female,Male body length (mm),Max male body length,Female body length (mm),Max female body length,Length of male tibia (mm),Male forewing length,Male hindwing length (mm),Female forewing length (mm),Female hindwing length (mm),Species distribution,Migratory,JNCC Red List status,Conservation status IUCN,Extinction risk category,Oviposition substrate,Habitat breadth,Agonistic display,Aquatic habitat,Ecozone,Climate,Habitat openness,Body pattern,Body colourtype,Body colour,Territorial wing pigmentation,Non-territorial wing pigmentation,Wing pigmentation,Wing pigment pattern,Wing pigment extent discrete,Wing pigment extent continuous,Wing pigment symmetry,Wing pigment dimorphism,Wing pigment colour,Wing pigment placement,Wing pigment colour type,Male wing pigment,Female wing pigment,Sexual wing dichromatism,Male or female biased sexual wing dichromatism,Male dark score,Female dark score,Mean annual temperature,Female has wing pigment (waller 2019),Female wing pigment extent discrete,Female wing pigment extent continuous,Female wing pigment placement,Flight period - start,Flight period - end,Flight period duration (months),Reference,Original source,Original source #2,Original source #3,Original source #4,Original source males,Original source females,Original source - body size,Original source - flight period,Original source - distribution status,Original source - migratory,Original source - distribution status,Original source - red list,Original source - oviposition,Original source - breeding habitat,Original source - breeding habitat
Calopteryx japonica,Calopteryx_japonica,Calopteryx_japonica,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","(Watanabe et al., 1998)",,,,,,,,,,,,,
Calopteryx maculata,Calopteryx_maculata,Calopteryx_maculata,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fitzstephen and Getty 2000,,,,,,,,,,,,,,,
Calopteryx maculata,Calopteryx_maculata,Calopteryx_maculata,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","(Sokolovska et al., 2000)",,,,,,,,,,,,,
Calopteryx splendens,Calopteryx_splendens,Calopteryx_splendens,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fitzstephen and Getty 2001,,,,,,,,,,,,,,,
Calopteryx splendens,Calopteryx_splendens,Calopteryx_splendens,,,Yes,,,,,,,,,,,,Yes,,Yes,,,,2m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Golab et al, 2013",,,,,,,,,,,,,,,
Calopteryx splendens,Calopteryx_splendens,Calopteryx_splendens,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","(Tynkkynen et al., 2006)",,,,,,,,,,,,,
Calopteryx virgo,Calopteryx_virgo,Calopteryx_virgo,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Koskimäki et al., 2004)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Calopteryx xanthostoma,Calopteryx_xanthostoma,Calopteryx_xanthostoma,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","(Plaistow & Siva-Jothy, 1996)",,,,,,,,,,,,,
Celithemis eponina,Celithemis_eponina,Celithemis_eponina,Anisoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Cordulegaster boltonii,Cordulegaster_boltonii,Cordulegaster_boltonii,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Natural History Museum, Odonata collection, UK","(Ocharán, 1987)",,,,,,,,,,,,
Crocothemis erythraea,Crocothemis_erythraea,Crocothemis_erythraea,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Azpilicueta-Amorín, M. unpubl. data","(Brooks & Lewington, 2004)",,,,,,,,,,,,,
Dromogomphus spinosus,Dromogomphus_spinosus,Dromogomphus_spinosus,Anisoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","(Walker, 1958)",,,,,,,,,,,,,
Echo modesta,Echo_modesta,Echo_modesta,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Enallagma civile,Enallagma_civile,Enallagma_civile,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bick 1972,,,,,,,,,,,,,,,
Enallagma cyathigerum,Enallagma_cyathigerum,Enallagma_cyathigerum,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)",,,,,,,,,,,,,
Erythemis simplicicollis,Erythemis_simplicicollis,Erythemis_simplicicollis,,,Yes,,,,,Multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thornton and Switzer 2015,,,,,,,,,,,,,,,
Erythemis simplicicollis,Erythemis_simplicicollis,Erythemis_simplicicollis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koenig 1990,,,,,,,,,,,,,,,
Erythemis simplicicollis,Erythemis_simplicicollis,Erythemis_simplicicollis,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(McVey, 1988)",,,,,,,,,,,,,
Gomphus exilis,Gomphus_exilis,Gomphus_exilis,Anisoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","(Walker, 1958)",,,,,,,,,,,,,
Gomphus externus,Gomphus_externus,Gomphus_externus,Anisoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Gomphus graslinii,Gomphus_graslinii,Gomphus_graslinii,Anisoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Hetaerina americana,Hetaerina_americana,Hetaerina_americana,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Serrano-Meneses et al., 2007)",,,,,,,,,,,,,,
Hetaerina titia,Hetaerina_titia,Hetaerina_titia,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Córdoba-Aguilar et al., 2007)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Ischnura cervula,Ischnura_cervula,Ischnura_cervula,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,
Ischnura perparva,Ischnura_perparva,Ischnura_perparva,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,
Ischnura ramburii,Ischnura_ramburii,Ischnura_ramburii,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Dunkle, 1989)",,,,,,,,,,,,,
Ischnura verticalis,Ischnura_verticalis,Ischnura_verticalis,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bick 1972,,,,,,,,,,,,,,,
Libellula depressa,Libellula_depressa,Libellula_depressa,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Ladona fulva,Ladona_fulva,Ladona_fulva,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Brooks & Lewington, 2004)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Lestes disjunctus,Lestes_disjunctus,Lestes_disjunctus,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","(Sokolovska et al., 2000)",,,,,,,,,,,,,
Chalcolestes viridis,Chalcolestes viridis,Chalcolestes_viridis,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Azpilicueta-Amorín, M. unpubl. data","(Cordero-Rivera, 1988)",,,,,,,,,,,,,
Libellula incesta,Libellula_incesta,Libellula_incesta,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Libellula luctuosa,Libellula_luctuosa,Libellula_luctuosa,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koenig 1990,,,,,,,,,,,,,,,
Libellula luctuosa,Libellula_luctuosa,Libellula_luctuosa,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Sokolovska et al., 2000)",,,,,,,,,,,,,
Libellula needhami,Libellula_needhami,Libellula_needhami,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,
Libellula pulchella,Libellula_pulchella,Libellula_pulchella,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Libellula quadrimaculata,Libellula_quadrimaculata,Libellula_quadrimaculata,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Azpilicueta-Amorín, M. unpubl. data","(Johansson et al., 2005)",,,,,,,,,,,,,
Macromia amphigena,Macromia_amphigena,Macromia_amphigena,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Macromia splendens,Macromia_splendens,Macromia_splendens,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Azpilicueta-Amorín, M. unpubl. data",,,,,,,,,,,,,,
Matrona basilaris,Matrona_basilaris,Matrona_basilaris,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","(Siva‐Jothy et al., 1998)",,,,,,,,,,,,,
Megaloprepus caerulatus,Megaloprepus_caerulatus,Megaloprepus_caerulatus,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Fincke, O.M, pers. comm.","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,
Megaloprepus caerulatus,Megaloprepus_caerulatus,Megaloprepus_caerulatus,,,Yes,,,Non-contact,,Multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fincke 1992,,,,,,,,,,,,,,,
Mnais pruinosa,Mnais_pruinosa,Mnais_pruinosa,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Neurobasis chinensis,Neurobasis_chinensis,Neurobasis_chinensis,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Kumar & Prasad, 1977)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Onychogomphus uncatus,Onychogomphus_uncatus,Onychogomphus_uncatus,Anisoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Johansson et al., 2005)","Natural History Museum, Odonata collection, UK","(Ocharán, 1987)",,,,,,,,,,,,
Ophiogomphus severus,Ophiogomphus_severus,Ophiogomphus_severus,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Orthemis ferruginea,Orthemis_ferruginea,Orthemis_ferruginea,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)",,,,,,,,,,,,,
Oxyagrion microstigma,Oxyagrion_microstigma,Oxyagrion_microstigma,,,Yes,Endophytic,Percher,,,,,,,,,,,,,,,1.66 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guillermo-Ferreira and Del-Claro 2011,,,,,,,,,,,,,,,
Pachydiplax longipennis,Pachydiplax_longipennis,Pachydiplax_longipennis,,,Yes,,,Non-contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnson 1962,,,,,,,,,,,,,,,
Pachydiplax longipennis,Pachydiplax_longipennis,Pachydiplax_longipennis,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,
Paltothemis lineatipes,Paltothemis_lineatipes,Paltothemis_lineatipes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koenig 1990,,,,,,,,,,,,,,,
