Species,Species_with_underscore,Formatted_species,Suborder,Family,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Number of oviposition sites,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Strength of territoriality (strong vs weak),Male territorial polymorphism,Aggressiveness,Lek,Male site fidelity (length of time) ,Territory size,Sex polymorphisms,Sex dimorphisms,Geo polymorphism,Mass of male,Mass of female,Male body length (mm),Max male body length,Female body length (mm),Max female body length,Length of male tibia (mm),Male forewing length,Male hindwing length (mm),Female forewing length (mm),Female hindwing length (mm),Species distribution,Migratory,JNCC Red List status,Conservation status IUCN,Extinction risk category,Oviposition substrate,Habitat breadth,Agonistic display,Aquatic habitat,Ecozone,Climate,Habitat openness,Body pattern,Body colourtype,Body colour,Territorial wing pigmentation,Non-territorial wing pigmentation,Wing pigmentation,Wing pigment pattern,Wing pigment extent discrete,Wing pigment extent continuous,Wing pigment symmetry,Wing pigment dimorphism,Wing pigment colour,Wing pigment placement,Wing pigment colour type,Male wing pigment,Female wing pigment,Sexual wing dichromatism,Male or female biased sexual wing dichromatism,Male dark score,Female dark score,Mean annual temperature,Female has wing pigment (waller 2019),Female wing pigment extent discrete,Female wing pigment extent continuous,Female wing pigment placement,Flight period - start,Flight period - end,Flight period duration (months),Reference,Original source,Original source #2,Original source #3,Original source #4,Original source males,Original source females,Original source - body size,Original source - flight period,Original source - distribution status,Original source - migratory,Original source - distribution status,Original source - red list,Original source - oviposition,Original source - breeding habitat,Original source - breeding habitat
Somatochlora whitehousei,Somatochlora_whitehousei,Somatochlora_whitehousei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,2,2,-2.355401433,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Somatochlora williamsoni,Somatochlora_williamsoni,Somatochlora_williamsoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,1,1,4.365630328,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Gomphus consanguis,Gomphus_consanguis,Gomphus_consanguis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,11.94260025,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Gomphus rogersi,Gomphus_rogersi,Gomphus_rogersi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,12.37055566,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Stylogomphus albistylus,Stylogomphus_albistylus,Stylogomphus_albistylus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,7.162877586,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Stylogomphus sigmastylus,Stylogomphus_sigmastylus,Stylogomphus_sigmastylus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,14.2584913,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Stylurus amnicola,Stylurus_amnicola,Stylurus_amnicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,8.389680011,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Stylurus intricatus,Stylurus_intricatus,Stylurus_intricatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,12.88177859,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Stylurus ivae,Stylurus_ivae,Stylurus_ivae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,17.62513489,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Stylurus laurae,Stylurus_laurae,Stylurus_laurae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,13.29502244,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Stylurus notatus,Stylurus_notatus,Stylurus_notatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,6.872883954,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Stylurus olivaceus,Stylurus_olivaceus,Stylurus_olivaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,9.520651262,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Stylurus plagiatus,Stylurus_plagiatus,Stylurus_plagiatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,14.17557403,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Stylurus potulentus,Stylurus_potulentus,Stylurus_potulentus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,19.36456299,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Stylurus scudderi,Stylurus_scudderi,Stylurus_scudderi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,4.921749129,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Stylurus spiniceps,Stylurus_spiniceps,Stylurus_spiniceps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,8.593952517,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Stylurus townesi,Stylurus_townesi,Stylurus_townesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,17.90579605,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Sympetrum ambiguum,Sympetrum_ambiguum,Sympetrum_ambiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,13.84661304,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Sympetrum corruptum,Sympetrum_corruptum,Sympetrum_corruptum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,11.63270831,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Sympetrum costiferum,Sympetrum_costiferum,Sympetrum_costiferum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,1,1,5.054528817,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Sympetrum danae,Sympetrum_danae,Sympetrum_danae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,2.408726011,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Sympetrum illotum,Sympetrum_illotum,Sympetrum_illotum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,1,1,13.47131133,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Sympetrum internum,Sympetrum_internum,Sympetrum_internum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,1,1,4.467274693,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Sympetrum madidum,Sympetrum_madidum,Sympetrum_madidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,1,1,6.909248325,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Sympetrum obtrusum,Sympetrum_obtrusum,Sympetrum_obtrusum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,1,1,5.939949569,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Sympetrum pallipes,Sympetrum_pallipes,Sympetrum_pallipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Female,0,1,7.613382281,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Sympetrum rubicundulum,Sympetrum_rubicundulum,Sympetrum_rubicundulum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Female,0,1,8.311028164,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Sympetrum semicinctum,Sympetrum_semicinctum,Sympetrum_semicinctum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,1,1,7.530483717,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Sympetrum signiferum,Sympetrum_signiferum,Sympetrum_signiferum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,2,2,16.72031301,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Sympetrum vicinum,Sympetrum_vicinum,Sympetrum_vicinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,1,1,9.07121006,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Tachopteryx thoreyi,Tachopteryx_thoreyi,Tachopteryx_thoreyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,13.52494922,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Tanypteryx hageni,Tanypteryx_hageni,Tanypteryx_hageni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,8.567240561,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Tauriphila argo,Tauriphila_argo,Tauriphila_argo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,2,2,22.92552032,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Tauriphila australis,Tauriphila_australis,Tauriphila_australis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,2,2,24.20455017,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Tauriphila azteca,Tauriphila_azteca,Tauriphila_azteca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,2,2,22.91478088,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Tholymis citrina,Tholymis_citrina,Tholymis_citrina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,1,1,21.85530834,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Tramea abdominalis,Tramea_abdominalis,Tramea_abdominalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,2,2,22.30068588,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Tramea calverti,Tramea_calverti,Tramea_calverti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,2,2,16.94501846,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Tramea carolina,Tramea_carolina,Tramea_carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,2,2,14.72583242,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Tramea insularis,Tramea_insularis,Tramea_insularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,2,2,21.20469653,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Tramea lacerata,Tramea_lacerata,Tramea_lacerata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,2,2,13.32883293,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Tramea onusta,Tramea_onusta,Tramea_onusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,2,2,16.31407982,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Triacanthagyna carribea,Triacanthagyna_caribbea,Triacanthagyna_caribbea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,23.65908142,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Triacanthagyna septima,Triacanthagyna_septima,Triacanthagyna_septima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,23.6964978,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Triacanthagyna trifida,Triacanthagyna_trifida,Triacanthagyna_trifida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,0,0,22.00102225,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Williamsoni fletcheri,Williamsonia_fletcheri,Williamsonia_fletcheri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Male,1,0,4.828156734,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Williamsoni lintneri,Williamsonia_lintneri,Williamsonia_lintneri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,1,1,7.280724607,,,,,,,,"(Moore et al., 2021)",,,,,,,,,,,,,,,
Archineura hetaerinoides,Archineura_hetaerinoides,Archineura_hetaerinoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Asia Dragonfly, 2011","Asia Dragonfly, 2011",,,,,,,,,
Archineura incarnata,Archineura_incarnata,Archineura_incarnata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Male,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Haomiao, 2009","Haomiao, 2009; Asia Dragonfly, 2011",,,,,,,,,
Atrocalopteryx atrocyana,Atrocalopteryx_atrocyana,Atrocalopteryx_atrocyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Asia Dragonfly, 2011","Asia Dragonfly, 2011",,,,,,,,,
Atrocalopyeryx atrata,Atrocalopteryx_atrata,Atrocalopteryx_atrata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"De Sélys-Longchamps and Hagen 1853; Dragonflies, 2011","Dragonflies, 2011",,,,,,,,,
Caliphaea angka,Caliphaea_angka,Caliphaea_angka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Hämäläinen, 2003",,,,,,,,,,
Caliphaea confusa,Caliphaea_confusa,Caliphaea_confusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Hämäläinen, 2003","Hämäläinen, 2003",,,,,,,,,
Caliphaea consimilis,Caliphaea_consimilis,Caliphaea_consimilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Asia Dragonfly, 2011",,,,,,,,,,
Caliphaea nitens,Caliphaea_nitens,Caliphaea_nitens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Hämäläinen, 2003",,,,,,,,,,
Caliphaea thailandica,Caliphaea_thailandica,Caliphaea_thailandica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Hämäläinen, 2003",,,,,,,,,,
Calopteryx aequabilis,Calopteryx_aequabilis,Calopteryx_aequabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Male,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Mullen and Andres, 2007; Paulson, 2009","Mullen and Andres, 2007; Paulson, 2009",,,,,,,,,
Calopteryx amata,Calopteryx_amata,Calopteryx_amata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Male,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Johnson, 1973","Johnson, 1973",,,,,,,,,
Calopteryx angustipennis,Calopteryx_angustipennis,Calopteryx_angustipennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"De Sélys-Longchamps and Hagen 1853; Johnson, 1973","De Sélys-Longchamps and Hagen 1853; Johnson, 1973",,,,,,,,,
Calopteryx coomani,Calopteryx_coomani,Calopteryx_coomani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Toan et al., 2011","Toan et al., 2011",,,,,,,,,
Calopteryx cornelia,Calopteryx_cornelia,Calopteryx_cornelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,De Sélys-Longchamps and Hagen 1853,"Tsubaki et al., 2006",,,,,,,,,
Calopteryx dimidiata,Calopteryx_dimidiata,Calopteryx_dimidiata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"De Sélys-Longchamps and Hagen 1853; Paulson, 2009","Johnson, 1973; Paulson, 2009",,,,,,,,,
Calopteryx exul,Calopteryx_exul,Calopteryx_exul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"De Sélys-Longchamps and Hagen 1853; Dijkstra and Lewington, 2006; Africa Dragonfly, 2011","Dijkstra and Lewington, 2006; Asia Dragonfly, 2011",,,,,,,,,
Calopteryx haemorrhoidalis,Calopteryx_haemorrhoidalis,Calopteryx_haemorrhoidalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"De Sélys-Longchamps and Hagen 1853; Dijkstra and Lewington, 2006; Dragonflies, 2011","Dijkstra and Lewington, 2006; Outomuro et al., 2010",,,,,,,,,
Calopteryx hyalina,Calopteryx_hyalina,Calopteryx_hyalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Morton, 1924","Morton, 1924",,,,,,,,,
Calopteryx intermedia,Calopteryx_intermedia,Calopteryx_intermedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Morton, 1924",,,,,,,,,,
Calopteryx japonica,Calopteryx_japonica,Calopteryx_japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Asia Dragonfly, 2011","Asia Dragonfly, 2011",,,,,,,,,
Calopteryx laosica,Calopteryx_laosica,Calopteryx_laosica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Fraser, 1933",,,,,,,,,,
Calopteryx maculata,Calopteryx_maculata,Calopteryx_maculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"De Sélys-Longchamps and Hagen 1853; Mullen and Andres, 2007; Paulson, 2009","Mullen and Andres, 2007; Paulson, 2009",,,,,,,,,
Calopteryx melli,Calopteryx_melli,Calopteryx_melli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Asia Dragonfly, 2011","Asia Dragonfly, 2011",,,,,,,,,
Calopteryx mingrelica,Calopteryx_mingrelica,Calopteryx_mingrelica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Sadeghi et al., 2009",,,,,,,,,,
Calopteryx oberthuri,Calopteryx_oberthuri,Calopteryx_oberthuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Morton, 1924",,,,,,,,,,
Calopteryx orientalis,Calopteryx_orientalis,Calopteryx_orientalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Sadeghi et al., 2010",,,,,,,,,,
Calopteryx samarcandica,Calopteryx_samarcandica,Calopteryx_samarcandica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Male,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Asia Dragonfly, 2011","Asia Dragonfly, 2011",,,,,,,,,
Calopteryx splendens,Calopteryx_splendens,Calopteryx_splendens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Male,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Dijkstra and Lewington, 2006; Sadeghi et al., 2009; Dragonflies, 2011","Dijkstra and Lewington, 2006; Outomuro et al., 2010",,,,,,,,,
Calopteryx syriaca,Calopteryx_syrica,Calopteryx_syriaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Male,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"De Sélys-Longchamps and Hagen 1853; Morton, 1924; Asia Dragonfly 2011","De Sélys-Longchamps and Hagen 1853; Morton, 1924; Asia Dragonfly 2011",,,,,,,,,
Calopteryx virgo,Calopteryx_virgo,Calopteryx_virgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Dijkstra and Lewington, 2006","Dijkstra and Lewington, 2006",,,,,,,,,
Echo modesta,Echo_modesta,Echo_modesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Hämäläinen and Pinratana, 1999; Asia Dragonfly, 2011","Asia Dragonfly, 2011",,,,,,,,,
Echo uniformis,Echo_uniformis,Echo_uniformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Krüger, 1898",,,,,,,,,,
Echo margarita,Echo_margarita,Echo_margarita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Male,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,De Sélys-Longchamps and Hagen 1853,De Sélys-Longchamps and Hagen 1853,,,,,,,,,
Hetaerina amazonica,Hetaerina_amazonica,Hetaerina_amazonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
