Species,Formatted_species,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Redlist category,Strength of territoriality (strong vs weak),Reference,Original source,Original source #2,Original source #3,Original source #4
Libellula saturata,Libellula_saturata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Libellula semifasciata,Libellula_semifasciata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Libellula vibrans,Libellula_vibrans,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Lindenia tetraphylla,Lindenia_tetraphylla,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Lyriothemis elegantissima,Lyriothemis_elegantissima,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Lyriothemis flava,Lyriothemis_flava,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Lyriothemis pachygastra,Lyriothemis_pachygastra,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Macrodiplax balteata,Macrodiplax_balteata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Macrodiplax cora,Macrodiplax_cora,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Macromia amphigena,Macromia_amphigena,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Macromia chaiyaphumensis,Macromia_chaiyaphumensis,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Macromia clio,Macromia_clio,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Macromia cupricincta,Macromia_cupricincta,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Macromia daimoji,Macromia_daimoji,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Macromia gerstaeckeri,Macromia_gerstaeckeri,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Macromia illinoiensis,Macromia_illinoiensis,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Macromia kubokaiya,Macromia_kubokaiya,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Macromia magnifica,Macromia_magnifica,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Macromia manchurica,Macromia_manchurica,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Macromia splendens,Macromia_splendens,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Macromia taeniolata,Macromia_taeniolata,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Macromia urania,Macromia_urania,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Macromia westwoodii,Macromia_westwoodii,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Macromidia ishidai,Macromidia_ishidai,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Macromidia rapida,Macromidia_rapida,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Malgassophlebia aequatoris,Malgassophlebia_aequatoris,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Miathyria marcella,Miathyria_marcella,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Miathyria simplex,Miathyria_simplex,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Micrathyria aequalis,Micrathyria_aequalis,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Micrathyria atra,Micrathyria_atra,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Micrathyria didyma,Micrathyria_didyma,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Micrathyria ocellata,Micrathyria_ocellata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Microgomphus chelifer,Microgomphus_chelifer,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Micromacromia camerunica,Micromacromia_camerunica,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Micromidia atrifrons,Micromidia_atrifrons,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Micromidia convergens,Micromidia_convergens,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Misagria parana,Misagria_parana,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Nannodiplax rubra,Nannodiplax_rubra,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Nannophlebia risi,Nannophlebia_risi,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Nannophya pygmaea,Nannophya_pygmaea,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Nannophyopsis clara,Nannophyopsis_clara,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Nannothemis bella,Nannothemis_bella,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Neallogaster pekinensis,Neallogaster_pekinensis,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Neodythemis africana,Neodythemis_africana,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Neogomphus edenticulatus,Neogomphus_edenticulatus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Neopetalia punctata,Neopetalia_punctata,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Neurocordulia obsoleta,Neurocordulia_obsoleta,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Neurothemis fluctuans,Neurothemis_fluctuans,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Neurothemis fulvia,Neurothemis_fulvia,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Neurothemis intermedia,Neurothemis_intermedia,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Neurothemis ramburii,Neurothemis_ramburii,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Neurothemis stigmatizans,Neurothemis_stigmatizans,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Neurothemis terminata,Neurothemis_terminata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Neurothemis tullia,Neurothemis_tullia,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Nihonogomphus minor,Nihonogomphus_minor,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Nihonogomphus viridis,Nihonogomphus_viridis,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Notiothemis robertsi,Notiothemis_robertsi,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Octogomphus specularis,Octogomphus_specularis,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Olpogastra lugubris,Olpogastra_lugubris,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Onychogomphus assimilis,Onychogomphus_assimilis,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Onychogomphus costae,Onychogomphus_costae,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Onychogomphus flexuosus,Onychogomphus_flexuosus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Onychogomphus forcipatus,Onychogomphus_forcipatus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Onychogomphus viridicostus,Onychogomphus_viridicostus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Onychothemis testacea,Onychothemis_testacea,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Ophiogomphus carolus,Ophiogomphus_carolus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Ophiogomphus occidentis,Ophiogomphus_occidentis,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Ophiogomphus severus,Ophiogomphus_severus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthemis cultriformis,Orthemis_cultriformis,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthemis discolor,Orthemis_discolor,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthemis ferruginea,Orthemis_ferruginea,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthetrum albistylum,Orthetrum_albistylum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthetrum brachiale,Orthetrum_brachiale,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthetrum brunneum,Orthetrum_brunneum,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthetrum chrysis,Orthetrum_chrysis,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthetrum chrysostigma,Orthetrum_chrysostigma,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthetrum coerulescens,Orthetrum_coerulescens,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthetrum glaucum,Orthetrum_glaucum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthetrum internum,Orthetrum_internum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthetrum japonicum,Orthetrum_japonicum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthetrum luzonicum,Orthetrum_luzonicum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthetrum melania,Orthetrum_melania,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthetrum poecilops,Orthetrum_poecilops,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthetrum pruinosum,Orthetrum_pruinosum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthetrum sabina,Orthetrum_sabina,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthetrum testaceum,Orthetrum_testaceum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Orthetrum triangulare,Orthetrum_triangulare,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Oxygastra curtisii,Oxygastra_curtisii,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Oxythemis phoenicosceles,Oxythemis_phoenicosceles,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Pachydiplax longipennis,Pachydiplax_longipennis,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Palpopleura lucia,Palpopleura_lucia,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Palpopleura sexmaculata,Palpopleura_sexmaculata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Paltothemis lineatipes,Paltothemis_lineatipes,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Pantala flavescens,Pantala_flavescens,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Pentathemis membranulata,Pentathemis_membranulata,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Perithemis intensa,Perithemis_intensa,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Perithemis lais,Perithemis_lais,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Perithemis tenera,Perithemis_tenera,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Petalura gigantea,Petalura_gigantea,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Phenes raptor,Phenes_raptor,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Phyllogomphoides albrighti,Phyllogomphoides_albrighti,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Phyllomacromia contumax,Phyllomacromia_contumax,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Phyllopetalia apicalis,Phyllopetalia_apicalis,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Phyllopetalia apollo,Phyllopetalia_apollo,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Planaeschna milnei,Planaeschna_milnei,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Planaeschna risi,Planaeschna_risi,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Plathemis lydia,Plathemis_lydia,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Plathemis subornata,Plathemis_subornata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Polycanthagyna melanictera,Polycanthagyna_melanictera,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Porpax risi,Porpax_risi,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Potamarcha congener,Potamarcha_congener,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Procordulia grayi,Procordulia_grayi,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Procordulia jacksoniensis,Procordulia_jacksoniensis,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Procordulia smithii,Procordulia_smithii,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Progomphus borealis,Progomphus_borealis,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Progomphus obscurus,Progomphus_obscurus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Pseudocordulia circularis,Pseudocordulia_circularis,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Pseudoleon superbus,Pseudoleon_superbus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Pseudothemis zonata,Pseudothemis_zonata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Rhionaeschna multicolor,Rhionaeschna_multicolor,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Rhodopygia cardinalis,Rhodopygia_cardinalis,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Rhodopygia hinei,Rhodopygia_hinei,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Rhodothemis rufa,Rhodothemis_rufa,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Rhyothemis fuliginosa,Rhyothemis_fuliginosa,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Rhyothemis phyllis,Rhyothemis_phyllis,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Rhyothemis semihyalina,Rhyothemis_semihyalina,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Rhyothemis severini,Rhyothemis_severini,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Rhyothemis variegata,Rhyothemis_variegata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Rialla villosa,Rialla_villosa,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sarasaeschna kunigamiensis,Sarasaeschna_kunigamiensis,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sarasaeschna lieni,Sarasaeschna_lieni,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Shaogomphus postocularis,Shaogomphus_postocularis,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Sieboldius albardae,Sieboldius_albardae,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Sinictinogomphus clavatus,Sinictinogomphus_clavatus,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sinogomphus flavolimbatus,Sinogomphus_flavolimbatus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Sinorogomphus suzukii,Sinorogomphus_suzukii,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora alpestris,Somatochlora_alpestris,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora arctica,Somatochlora_arctica,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora brevicincta,Somatochlora_brevicincta,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora cingulata,Somatochlora_cingulata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora clavata,Somatochlora_clavata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora dido,Somatochlora_dido,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora elongata,Somatochlora_elongata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora exuberata,Somatochlora_exuberata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora flavomaculata,Somatochlora_flavomaculata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora graeseri,Somatochlora_graeseri,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora hudsonica,Somatochlora_hudsonica,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora metallica,Somatochlora_metallica,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora minor,Somatochlora_minor,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora septentrionalis,Somatochlora_septentrionalis,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora uchidai,Somatochlora_uchidai,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora viridiaenea,Somatochlora_viridiaenea,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora walshii,Somatochlora_walshii,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Somatochlora whitehousei,Somatochlora_whitehousei,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sonjagaster insignis,Sonjagaster_insignis,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Stylogomphus albistylus,Stylogomphus_albistylus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Stylogomphus ryukyuanus,Stylogomphus_ryukyuanus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Stylogomphus shirozui,Stylogomphus_shirozui,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Stylogomphus suzukii,Stylogomphus_suzukii,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Stylurus amnicola,Stylurus_amnicola,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Stylurus annulatus,Stylurus_annulatus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Stylurus intricatus,Stylurus_intricatus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Stylurus nagoyanus,Stylurus_nagoyanus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Stylurus oculatus,Stylurus_oculatus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Stylurus olivaceus,Stylurus_olivaceus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum ambiguum,Sympetrum_ambiguum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum baccha,Sympetrum_baccha,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum cordulegaster,Sympetrum_cordulegaster,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum corruptum,Sympetrum_corruptum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum costiferum,Sympetrum_costiferum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum croceolum,Sympetrum_croceolum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum danae,Sympetrum_danae,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum darwinianum,Sympetrum_darwinianum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum depressiusculum,Sympetrum_depressiusculum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum eroticum,Sympetrum_eroticum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum flaveolum,Sympetrum_flaveolum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum fonscolombii,Sympetrum_fonscolombii,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum frequens,Sympetrum_frequens,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum gracile,Sympetrum_gracile,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum illotum,Sympetrum_illotum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum infuscatum,Sympetrum_infuscatum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum internum,Sympetrum_internum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum kunckeli,Sympetrum_kunckeli,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum maculatum,Sympetrum_maculatum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum madidum,Sympetrum_madidum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum meridionale,Sympetrum_meridionale,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum nigrescens,Sympetrum_nigrescens,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum obtrusum,Sympetrum_obtrusum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum pallipes,Sympetrum_pallipes,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum parvulum,Sympetrum_parvulum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum pedemontanum,Sympetrum_pedemontanum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum risi,Sympetrum_risi,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum rubicundulum,Sympetrum_rubicundulum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum sanguineum,Sympetrum_sanguineum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum semicinctum,Sympetrum_semicinctum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum signiferum,Sympetrum_signiferum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum speciosum,Sympetrum_speciosum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum striolatum,Sympetrum_striolatum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum uniforme,Sympetrum_uniforme,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum vicinum,Sympetrum_vicinum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum villosum,Sympetrum_villosum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Sympetrum vulgatum,Sympetrum_vulgatum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Synthemiopsis gomphomacromioides,Synthemiopsis_gomphomacromioides,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Synthemis eustalacta,Synthemis_eustalacta,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Synthemis marcrostigma,Synthemis_marcrostigma,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Tachopteryx thoreyi,Tachopteryx_thoreyi,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Taeniogaster obliqua,Taeniogaster_obliqua,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Tanypteryx hageni,Tanypteryx_hageni,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Tanypteryx pryeri,Tanypteryx_pryeri,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Telephlebia tillyardi,Telephlebia_tillyardi,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Tetragoneuria cynosura,Tetragoneuria_cynosura,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Tetrathemis irregularis,Tetrathemis_irregularis,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Tetrathemis platyptera,Tetrathemis_platyptera,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Tetrathemis polleni,Tetrathemis_polleni,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Thermochoria equivocata,Thermochoria_equivocata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Thermorthemis madagascariensis,Thermorthemis_madagascariensis,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Tholymis citrina,Tholymis_citrina,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Tholymis tillarga,Tholymis_tillarga,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
