Species,Formatted_species,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Redlist category,Strength of territoriality (strong vs weak),Reference,Original source,Original source #2,Original source #3,Original source #4
Ischnura cervula,Ischnura_cervula,No,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",
Ischnura perparva,Ischnura_perparva,No,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",
Ischnura ramburii,Ischnura_ramburii,No,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Dunkle, 1989)",,
Ischnura verticalis,Ischnura_verticalis,No,,,,,,,,,,,,,,Bick 1972,,,,
Libellula depressa,Libellula_depressa,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Ladona fulva,Ladona_fulva,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Brooks & Lewington, 2004)","Natural History Museum, Odonata collection, UK",,
Lestes disjunctus,Lestes_disjunctus,No,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","(Sokolovska et al., 2000)",,
Chalcolestes viridis,Chalcolestes_viridis,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Azpilicueta-Amorín, M. unpubl. data","(Cordero-Rivera, 1988)",,
Libellula incesta,Libellula_incesta,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,
Libellula luctuosa,Libellula_luctuosa,Yes,,,,,,,,,,,,,,Koenig 1990,,,,
Libellula luctuosa,Libellula_luctuosa,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Sokolovska et al., 2000)",,
Libellula needhami,Libellula_needhami,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",
Libellula pulchella,Libellula_pulchella,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,
Libellula quadrimaculata,Libellula_quadrimaculata,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Azpilicueta-Amorín, M. unpubl. data","(Johansson et al., 2005)",,
Macromia amphigena,Macromia_amphigena,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Macromia splendens,Macromia_splendens,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Azpilicueta-Amorín, M. unpubl. data",,,
Matrona basilaris,Matrona_basilaris,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","(Siva‐Jothy et al., 1998)",,
Megaloprepus caerulatus,Megaloprepus_caerulatus,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Fincke, O.M, pers. comm.","Natural History Museum, Odonata collection, UK",
Megaloprepus caerulatus,Megaloprepus_caerulatus,Yes,,,Non-contact,,,,,,,,,,,Fincke 1992,,,,
Mnais pruinosa,Mnais_pruinosa,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Neurobasis chinensis,Neurobasis_chinensis,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Kumar & Prasad, 1977)","Natural History Museum, Odonata collection, UK",,
Onychogomphus uncatus,Onychogomphus_uncatus,No,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Johansson et al., 2005)","Natural History Museum, Odonata collection, UK","(Ocharán, 1987)",
Ophiogomphus severus,Ophiogomphus_severus,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,
Orthemis ferruginea,Orthemis_ferruginea,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)",,
Oxyagrion microstigma,Oxyagrion_microstigma,Yes,Endophytic,Percher,,,,,,,,,,,,Guillermo-Ferreira and Del-Claro 2011,,,,
Pachydiplax longipennis,Pachydiplax_longipennis,Yes,,,Non-contact,,,,,,,,,,,Johnson 1962,,,,
Pachydiplax longipennis,Pachydiplax_longipennis,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",
Paltothemis lineatipes,Paltothemis_lineatipes,Yes,,,,,,,,,,,,,,Koenig 1990,,,,
Perithemis tenera,Perithemis_tenera,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)",,
Petalura gigantea,Petalura_gigantea,Yes,,Percher,Non-contact,,,,,,,,No,,,Baird 2014,,,,
Phaon iridipennis,Phaon_iridipennis,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Phyllogomphoides albrighti,Phyllogomphoides_albrighti,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,
