Species,Species_with_underscore,Formatted_species,Suborder,Family,Territorial,Male territorial polymorphism,Aggressiveness,Lek,Male site fidelity (length of time) ,Territory size,Sex polymorphisms,Sex dimorphisms,Geo polymorphism,Mass of male,Mass of female,Male body length (mm),Max male body length,Female body length (mm),Max female body length,Length of male tibia (mm),Male forewing length,Male hindwing length (mm),Female forewing length (mm),Female hindwing length (mm),Species distribution,Migratory,JNCC Red List status,Conservation status IUCN,Extinction risk category,Oviposition type (endophytic vs exophytic),Oviposition substrate,Oviposition,Number of oviposition sites,Lotic vs lentic (breeding habitat),Habitat breadth,Flier vs percher,Mate guarding,Agonistic display,Courtship,Aquatic habitat,Ecozone,Climate,Habitat openness,Body pattern,Body colourtype,Body colour,Territorial wing pigmentation,Non-territorial wing pigmentation,Wing pigmentation,Wing pigment pattern,Wing pigment extent discrete,Wing pigment extent continuous,Wing pigment symmetry,Wing pigment dimorphism,Wing pigment colour,Wing pigment placement,Wing pigment colour type,Female has wing pigment,Female wing pigment extent discrete,Female wing pigment extent continuous,Female wing pigment placement,Flight period - start,Flight period - end,Flight period duration (months),Reference,Original source,Original source #2,Original source #3,Original source #4,Original source - body size,Original source - flight period,Original source - distribution status,Original source - migratory,Original source - distribution status,Original source - red list,Original source - oviposition,Original source - breeding habitat,Original source - breeding habitat
Neoneura denticulata,Neoneura_denticulata,Neoneura_denticulata,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,Endophytic,Roots,,,,,,tandem,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"de Rescende et. al., 2021",,,,,,,,,,,,,
Neoneura bilinearis,Neoneura_bilinearis,Neoneura_bilinearis,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,Endophytic,Wood,,,,,,tandem,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"de Rescende et. al., 2021",,,,,,,,,,,,,
Neoneura joana,Neoneura_joana,Neoneura_joana,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,Endophytic,Roots,,,,,,tandem,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"de Rescende et. al., 2021",,,,,,,,,,,,,
Neoneura luzmarina,Neoneura_luzmarina,Neoneura_luzmarina,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,Endophytic,Roots,,,,,,tandem,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"de Rescende et. al., 2021",,,,,,,,,,,,,
Neoneura rubriventris,Neoneura_rubriventris,Neoneura_rubriventris,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,Endophytic,Roots,,,,,,tandem,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"de Rescende et. al., 2021",,,,,,,,,,,,,
Oxystigma petiolatum,Oxystigma_petiolatum,Oxystigma_petiolatum,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,Endophytic,Roots,,,,,,tandem,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"de Rescende et. al., 2021",,,,,,,,,,,,,
Perilestes kahli,Perilestes_kahli,Perilestes_kahli,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,Endophytic,Wood,,,,,,tandem,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"de Rescende et. al., 2021",,,,,,,,,,,,,
Perilestes solutus,Perilestes_solutus,Perilestes_solutus,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,Endophytic,Wood,,,,,,tandem,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"de Rescende et. al., 2021",,,,,,,,,,,,,
Phasmoneura exigua,Phasmoneura_exigua,Phasmoneura_exigua,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,Endophytic,Roots,,,,,,tandem,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"de Rescende et. al., 2021",,,,,,,,,,,,,
Psaironeura tenuissima,Psaironeura_tenuissima,Psaironeura_tenuissima,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,Endophytic,Roots,,,,,,tandem,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"de Rescende et. al., 2021",,,,,,,,,,,,,
Protoneura tenuis,Protoneura_tenuis,Protoneura_tenuis,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Endophytic,Roots,,,,,,Contact,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"de Rescende et. al., 2021",,,,,,,,,,,,,
Telebasis sanguinalis,Telebasis_sanguinalis,Telebasis_sanguinalis,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,Endophytic,Roots,,,,,,tandem,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"de Rescende et. al., 2021",,,,,,,,,,,,,
Tigriagrion aurantinigrum,Tigriagrion_aurantinigrum,Tigriagrion_aurantinigrum,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Endophytic,Roots,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,"de Rescende et. al., 2021",,,,,,,,,,,,,
Aeshna subarctica,Aeshna_subarctica,Aeshna_subarctica,,,Yes,,,,,,,,,,,,,,,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005",Clausen pers. comm.,,,,,,,,,,,,
Aeshna grandis,Aeshna_grandis,Aeshna_grandis,,,Yes,,,,,,,,,,,,,,,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,,,,,,,,,,
Anax imperator,Anax_imperator,Anax_imperator,,,Yes,,,,,,,,,,,,,,,8.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005","(Hoess, 1993)",,,,,,,,,,,,
Gomphus vulgatissimus,Gomphus_vulgatissimus,Gomphus_vulgatissimus,,,No,,,,,,,,,,,,,,,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,,,,,,,,,,
Onychogomphus uncatus,Onychogomphus_uncatus,Onychogomphus_uncatus,,,No,,,,,,,,,,,,,,,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005","(Suhling, 1995)",,,,,,,,,,,,
Somatochlora metallica,Somatochlora_metallica,Somatochlora_metallica,,,Yes,,,,,,,,,,,,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,,,,,,,,,,
Cordulia aenea,Cordulia_aenea,Cordulia_aenea,,,Yes,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,,,,,,,,,,
Libelulla quadrimaculata,Libelulla_quadrimaculata,Libelulla_quadrimaculata,,,Yes,,,,,,,,,,,,,,,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,,,,,,,,,,
Leucorrhinia albifrons,Leucorrhinia_albifrons,Leucorrhinia_albifrons,,,No,,,,,,,,,,,,,,,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,,,,,,,,,,
Leucorhinia dubia,Leucorhinia_dubia,Leucorhinia_dubia,,,No,,,,,,,,,,,,,,,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,,,,,,,,,,
Leucorrhinia rubicunda,Leucorrhinia_rubicunda,Leucorrhinia_rubicunda,,,No,,,,,,,,,,,,,,,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,,,,,,,,,,
Orthetrum cancellatum,Orthetrum_cancellatum,Orthetrum_cancellatum,,,Yes,,,,,,,,,,,,,,,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005","(Hoess, 1993)",,,,,,,,,,,,
Sympetrum danae,Sympetrum_danae,Sympetrum_danae,,,No,,,,,,,,,,,,,,,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,,,,,,,,,,
Sympetrum sanguineum,Sympetrum_sanguineum,Sympetrum_sanguineum,,,Yes,,,,,,,,,,,,,,,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005","(Hoess, 1993)",,,,,,,,,,,,
Sympetrum vulgatum,Sympetrum_vulgatum,Sympetrum_vulgatum,,,Yes,,,,,,,,,,,,,,,6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005","(Hoess, 1993)",,,,,,,,,,,,
Coenagrion hastulatum,Coenagrion_hastulatum,Coenagrion_hastulatum,,,No,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,,,,,,,,,,
Coenagrion johanssoni,Coenagrion_johanssoni,Coenagrion_johanssoni,,,No,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,,,,,,,,,,
Erythromma najas,Erythromma_najas,Erythromma_najas,,,No,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005",Johansson unpubl.,,,,,,,,,,,,
Pyrrhosoma nymphula,Pyrrhosoma_nymphula,Pyrrhosoma_nymphula,,,Yes,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005","(Gribbin & Thompson, 1991)",,,,,,,,,,,,
Lestes sponsa,Lestes_sponsa,Lestes_sponsa,,,No,,,,,,,,,,,,,,,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005","Belgium, Stoks, pers. comm.",,,,,,,,,,,,
Chalcolestes viridis,Chalcolestes_viridis,Chalcolestes_viridis,,,No,,,,,,,,,,,,,,,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johansson et. al., 2005","(Hoess, 1993)",,,,,,,,,,,,
Aeshna grandis,Aeshna_grandis,Aeshna_grandis,,,Yes,,,,,,,,,,,70.39,,68.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Johansson et al., 2005)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Anaciaeschna isosceles,Anaciaeschna_isosceles,Anaciaeschna_isosceles,,,Yes,,,,,,,,,,,64.17,,67.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Brooks & Lewington, 2004)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Anax imperator,Anax_imperator,Anax_imperator,,,Yes,,,,,,,,,,,69.27,,71.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Azpilicueta-Amorín, M. unpubl. data","(Cordero-Rivera, 1988)",,,,,,,,,,,
Anotogaster sieboldii,Anotogaster_sieboldii,Anotogaster_sieboldii,,,Yes,,,,,,,,,,,89.76,,95.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Tsubaki et al., 1997)",,,,,,,,,,,
Archineura incarnata,Archineura_incarnata,Archineura_incarnata,,,Yes,,,,,,,,,,,80.13,,76.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Argia plana,Argia_plana,Argia_plana,,,No,,,,,,,,,,,34.2,,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Argia sedula,Argia_sedula,Argia_sedula,,,Yes,,,,,,,,,,,33.2,,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Atrocalopteryx atrata,Atrocalopteryx_atrata,Atrocalopteryx_atrata,,,Yes,,,,,,,,,,,62.94,,59.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Boyeria irene,Boyeria_irene,Boyeria_irene,,,No,,,,,,,,,,,63.09,,61.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Ocharán, 1987)",,,,,,,,,,,,
Brachytron pratense,Brachytron_pratense,Brachytron_pratense,,,Yes,,,,,,,,,,,54.7,,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Brooks & Lewington, 2004)","(Ocharán, 1987)",,,,,,,,,,,
Calopteryx aequabilis,Calopteryx_aequabilis,Calopteryx_aequabilis,,,Yes,,,,,,,,,,,50.92,,46.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Calopteryx amata,Calopteryx_amata,Calopteryx_amata,,,Yes,,,,,,,,,,,55.37,,52.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Calopteryx cornelia,Calopteryx_cornelia,Calopteryx_cornelia,,,Yes,,,,,,,,,,,71.35,,69.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Calopteryx exul,Calopteryx_exul,Calopteryx_exul,,,Yes,,,,,,,,,,,51.84,,49.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(D’Aguilar & Dommanget, 1998)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Calopteryx haemorrhoidalis,Calopteryx_haemorrhoidalis,Calopteryx_haemorrhoidalis,,,Yes,,,,,,,,,,,49.8,,47.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Córdoba-Aguilar, 2002)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Calopteryx japonica,Calopteryx_japonica,Calopteryx_japonica,,,Yes,,,,,,,,,,,57.49,,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Watanabe et al., 1998)",,,,,,,,,,,
Calopteryx maculata,Calopteryx_maculata,Calopteryx_maculata,,,Yes,,,,,,,,,,,52.04,,47.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Sokolovska et al., 2000)",,,,,,,,,,,
Calopteryx splendens,Calopteryx_splendens,Calopteryx_splendens,,,Yes,,,,,,,,,,,45.57,,43.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","K. Tynkkynen, pers. comm.",,,,,,,,,,,
Calopteryx virgo,Calopteryx_virgo,Calopteryx_virgo,,,Yes,,,,,,,,,,,46.79,,44.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","K. Tynkkynen, pers. comm.",,,,,,,,,,,
Calopteryx xanthostoma,Calopteryx_xanthostoma,Calopteryx_xanthostoma,,,Yes,,,,,,,,,,,46.4,,45.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","A. Córdoba-Aguilar, pers.obs.","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Celithemis eponina,Celithemis_eponina,Celithemis_eponina,,,No,,,,,,,,,,,38.38,,36.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Chlorocypha curta,Chlorocypha_curta,Chlorocypha_curta,,,Yes,,,,,,,,,,,30.34,,26.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Cordulegaster boltonii,Cordulegaster_boltonii,Cordulegaster_boltonii,,,Yes,,,,,,,,,,,68.55,,77.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","(Ocharán, 1987)",,,,,,,,,,,
Crocothemis erythraea,Crocothemis_erythraea,Crocothemis_erythraea,,,Yes,,,,,,,,,,,38.98,,35.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Azpilicueta-Amorín, M. unpubl. data","(Brooks & Lewington, 2004)",,,,,,,,,,,
Dromogomphus spinosus,Dromogomphus_spinosus,Dromogomphus_spinosus,,,No,,,,,,,,,,,57.32,,61.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Walker, 1958)",,,,,,,,,,,
Echo modesta,Echo_modesta,Echo_modesta,,,Yes,,,,,,,,,,,56.82,,53.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Enallagma antennatum,Enallagma_antennatum,Enallagma_antennatum,,,No,,,,,,,,,,,27.21,,31.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Walker, 1958)",,,,,,,,,,,
Enallagma aspersum,Enallagma_aspersum,Enallagma_aspersum,,,No,,,,,,,,,,,28.08,,31.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Walker, 1958)",,,,,,,,,,,
Enallagma boreale,Enallagma_boreale,Enallagma_boreale,,,No,,,,,,,,,,,31.81,,32.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","Natural History Museum, Odonata collection, UK","(Sokolovska et al., 2000)",,,,,,,,,,
Enallagma carunculatum,Enallagma_carunculatum,Enallagma_carunculatum,,,No,,,,,,,,,,,32.29,,32.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Enallagma civile,Enallagma_civile,Enallagma_civile,,,Yes,,,,,,,,,,,32.1,,30.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Corbet, 1999)",,,,,,,,,,,
Enallagma clausum,Enallagma_clausum,Enallagma_clausum,,,No,,,,,,,,,,,31.98,,32.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Enallagma cyathigerum,Enallagma_cyathigerum,Enallagma_cyathigerum,,,No,,,,,,,,,,,30.35,,30.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)",,,,,,,,,,,
Enallagma ebrium,Enallagma_ebrium,Enallagma_ebrium,,,No,,,,,,,,,,,30.01,,29.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Sokolovska et al., 2000)",,,,,,,,,,,
Enallagma exsulans,Enallagma_exsulans,Enallagma_exsulans,,,No,,,,,,,,,,,32.45,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Walker, 1958)",,,,,,,,,,,
Enallagma hageni,Enallagma_hageni,Enallagma_hageni,,,No,,,,,,,,,,,28.07,,29.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Sokolovska et al., 2000)",,,,,,,,,,,
Enallagma praevarum,Enallagma_praevarum,Enallagma_praevarum,,,No,,,,,,,,,,,30.75,,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Erythemis simplicicollis,Erythemis_simplicicollis,Erythemis_simplicicollis,,,Yes,,,,,,,,,,,43.5,,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(McVey, 1988)",,,,,,,,,,,
Gomphus exilis,Gomphus_exilis,Gomphus_exilis,,,No,,,,,,,,,,,41.42,,40.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Walker, 1958)",,,,,,,,,,,
Gomphus externus,Gomphus_externus,Gomphus_externus,,,No,,,,,,,,,,,52.36,,53.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Gomphus graslinii,Gomphus_graslinii,Gomphus_graslinii,,,No,,,,,,,,,,,46.62,,48.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Hetaerina americana,Hetaerina_americana,Hetaerina_americana,,,Yes,,,,,,,,,,,41.13,,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Serrano-Meneses et al., 2007)",,,,,,,,,,,,
Hetaerina titia,Hetaerina_titia,Hetaerina_titia,,,Yes,,,,,,,,,,,48.01,,39.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","A. Córdoba-Aguilar, pers.obs.","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Iridictyon myersi,Iridictyon_myersi,Iridictyon_myersi,,,Yes,,,,,,,,,,,65.78,,58.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Silsby & Parr, 2001)",,,,,,,,,,,
Ischnura cervula,Ischnura_cervula,Ischnura_cervula,,,No,,,,,,,,,,,26.51,,29.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,
Ischnura denticollis,Ischnura_denticollis,Ischnura_denticollis,,,No,,,,,,,,,,,27.45,,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)",,,,,,,,,,,
Ischnura erratica,Ischnura_erratica,Ischnura_erratica,,,No,,,,,,,,,,,33.72,,33.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Ischnura perparva,Ischnura_perparva,Ischnura_perparva,,,No,,,,,,,,,,,26.46,,26.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,
Ischnura posita,Ischnura_posita,Ischnura_posita,,,No,,,,,,,,,,,24,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","A. Córdoba-Aguilar, pers.obs.",,,,,,,,,,,
Ischnura ramburii,Ischnura_ramburii,Ischnura_ramburii,,,No,,,,,,,,,,,28.05,,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Dunkle, 1989)",,,,,,,,,,,
Ischnura verticalis,Ischnura_verticalis,Ischnura_verticalis,,,No,,,,,,,,,,,26.77,,29.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Fincke, 1987)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Ladona deplanata,Ladona_deplanata,Ladona_deplanata,,,Yes,,,,,,,,,,,32.9,,32.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
